
BackTest: Z4 EUR/CHF 2011..2014
[121: Tue 23.08. 01:00]  1.13374-1.13335-1.13586-1.13515
[122: Tue 23.08. 02:00]  1.13515-1.13365-1.13576-1.13411
[123: Tue 23.08. 03:00]  1.13411-1.13258-1.13425-1.13285
[124: Tue 23.08. 04:00]  1.13285-1.13234-1.13426-1.13243
[125: Tue 23.08. 05:00]  1.13243-1.13162-1.13346-1.13297
[126: Tue 23.08. 06:00]  1.13297-1.13234-1.13432-1.13383
[127: Tue 23.08. 07:00]  1.13383-1.13297-1.13651-1.13419
[128: Tue 23.08. 08:00]  1.13419-1.13339-1.14067-1.13991
[129: Tue 23.08. 09:00]  1.13991-1.13675-1.14177-1.13946
[130: Tue 23.08. 10:00]  1.13946-1.13615-1.14252-1.14096
[131: Tue 23.08. 11:00]  1.14096-1.13938-1.14320-1.14135
[132: Tue 23.08. 12:00]  1.14135-1.14004-1.14294-1.14100
[133: Tue 23.08. 13:00]  1.14100-1.13798-1.14163-1.13802
[134: Tue 23.08. 14:00]  1.13802-1.13432-1.13915-1.13595
[135: Tue 23.08. 15:00]  1.13595-1.13474-1.13760-1.13577
[136: Tue 23.08. 16:00]  1.13577-1.13520-1.14177-1.13906
[137: Tue 23.08. 17:00]  1.13906-1.13806-1.13998-1.13885
[138: Tue 23.08. 18:00]  1.13885-1.13840-1.14036-1.14009
[139: Tue 23.08. 19:00]  1.14009-1.13921-1.14203-1.14141
[140: Tue 23.08. 20:00]  1.14141-1.14129-1.14403-1.14359
[141: Tue 23.08. 21:00]  1.14359-1.14355-1.14569-1.14458
[142: Tue 23.08. 22:00]  1.14458-1.14369-1.14477-1.14408
[143: Tue 23.08. 23:00]  1.14408-1.14321-1.14621-1.14499
[144: Wed 24.08. 00:00]  1.14499-1.14405-1.14567-1.14518
[145: Wed 24.08. 01:00]  1.14518-1.14333-1.14551-1.14521
[146: Wed 24.08. 02:00]  1.14521-1.14335-1.14571-1.14355
[147: Wed 24.08. 03:00]  1.14355-1.14278-1.14465-1.14290
[148: Wed 24.08. 04:00]  1.14290-1.14209-1.14378-1.14370
[149: Wed 24.08. 05:00]  1.14370-1.14276-1.14446-1.14400
[150: Wed 24.08. 06:00]  1.14400-1.14144-1.14487-1.14184
[151: Wed 24.08. 07:00]  1.14184-1.14010-1.14322-1.14200
[152: Wed 24.08. 08:00]  1.14200-1.13999-1.14307-1.14240
[153: Wed 24.08. 09:00]  1.14240-1.14046-1.14319-1.14208
[154: Wed 24.08. 10:00]  1.14208-1.14090-1.14312-1.14133
[155: Wed 24.08. 11:00]  1.14133-1.14045-1.14219-1.14062
[156: Wed 24.08. 12:00]  1.14062-1.14052-1.14241-1.14052
[157: Wed 24.08. 13:00]  1.14052-1.14003-1.14462-1.14131
[158: Wed 24.08. 14:00]  1.14131-1.13728-1.14182-1.14117
[159: Wed 24.08. 15:00]  1.14117-1.13989-1.14480-1.14403
[160: Wed 24.08. 16:00]  1.14403-1.14322-1.14645-1.14521
[161: Wed 24.08. 17:00]  1.14521-1.14434-1.14618-1.14444
[162: Wed 24.08. 18:00]  1.14444-1.14424-1.14766-1.14652
[163: Wed 24.08. 19:00]  1.14652-1.14462-1.14668-1.14628
[164: Wed 24.08. 20:00]  1.14628-1.14604-1.14757-1.14652
[165: Wed 24.08. 21:00]  1.14652-1.14605-1.14763-1.14752
[166: Wed 24.08. 22:00]  1.14752-1.14699-1.14784-1.14699
[167: Wed 24.08. 23:00]  1.14699-1.14677-1.14763-1.14698
[168: Thu 25.08. 00:00]  1.14698-1.14649-1.14744-1.14703
[169: Thu 25.08. 01:00]  1.14703-1.14583-1.14754-1.14667
[170: Thu 25.08. 02:00]  1.14667-1.14516-1.14669-1.14604
[171: Thu 25.08. 03:00]  1.14604-1.14491-1.14641-1.14557
[172: Thu 25.08. 04:00]  1.14557-1.14516-1.14610-1.14516
[173: Thu 25.08. 05:00]  1.14516-1.14510-1.14650-1.14642
[174: Thu 25.08. 06:00]  1.14642-1.14535-1.14703-1.14677
[175: Thu 25.08. 07:00]  1.14677-1.14620-1.14931-1.14900
[176: Thu 25.08. 08:00]  1.14900-1.14488-1.14990-1.14530
[177: Thu 25.08. 09:00]  1.14530-1.14362-1.14756-1.14399
[178: Thu 25.08. 10:00]  1.14399-1.14399-1.14681-1.14490
[179: Thu 25.08. 11:00]  1.14490-1.14460-1.14761-1.14735
[180: Thu 25.08. 12:00]  1.14735-1.14620-1.14843-1.14684
[181: Thu 25.08. 13:00]  1.14684-1.14439-1.15184-1.14941
[182: Thu 25.08. 14:00]  1.14941-1.14745-1.15206-1.14869
[183: Thu 25.08. 15:00]  1.14869-1.14467-1.14937-1.14549
[184: Thu 25.08. 16:00]  1.14549-1.14092-1.14611-1.14483
[185: Thu 25.08. 17:00]  1.14483-1.14134-1.14601-1.14329
[186: Thu 25.08. 18:00]  1.14329-1.14122-1.14478-1.14235
[187: Thu 25.08. 19:00]  1.14235-1.14068-1.14329-1.14102
[188: Thu 25.08. 20:00]  1.14102-1.14021-1.14219-1.14117
[189: Thu 25.08. 21:00]  1.14117-1.14027-1.14155-1.14071
[190: Thu 25.08. 22:00]  1.14071-1.14056-1.14205-1.14155
[191: Thu 25.08. 23:00]  1.14155-1.14056-1.14210-1.14131
[192: Fri 26.08. 00:00]  1.14131-1.14095-1.14256-1.14227
[193: Fri 26.08. 01:00]  1.14227-1.14199-1.14455-1.14396
[194: Fri 26.08. 02:00]  1.14396-1.14268-1.14412-1.14316
[195: Fri 26.08. 03:00]  1.14316-1.14259-1.14385-1.14299
[196: Fri 26.08. 04:00]  1.14299-1.14236-1.14338-1.14276
[197: Fri 26.08. 05:00]  1.14276-1.14169-1.14288-1.14210
[198: Fri 26.08. 06:00]  1.14210-1.14140-1.14406-1.14391
[199: Fri 26.08. 07:00]  1.14391-1.13975-1.14470-1.14028
[200: Fri 26.08. 08:00]  1.14028-1.13980-1.14290-1.14178
[201: Fri 26.08. 09:00]  1.14178-1.14080-1.14373-1.14295
[202: Fri 26.08. 10:00]  1.14295-1.14289-1.14732-1.14532
[203: Fri 26.08. 11:00]  1.14532-1.14475-1.14752-1.14747
[204: Fri 26.08. 12:00]  1.14747-1.14559-1.14762-1.14683
[205: Fri 26.08. 13:00]  1.14683-1.14366-1.14701-1.14446
[206: Fri 26.08. 14:00]  1.14446-1.14347-1.14807-1.14732
[207: Fri 26.08. 15:00]  1.14732-1.14212-1.16979-1.16388
[208: Fri 26.08. 16:00]  1.16388-1.16029-1.16856-1.16558
[209: Fri 26.08. 17:00]  1.16558-1.16514-1.17392-1.16870
[210: Fri 26.08. 18:00]  1.16870-1.16788-1.17149-1.16826
[211: Fri 26.08. 19:00]  1.16826-1.16706-1.17020-1.17020
[212: Fri 26.08. 20:00]  1.17020-1.16903-1.17118-1.17114
[213: Fri 26.08. 21:00]  1.17114-1.17027-1.17130-1.17036
[214: Sun 28.08. 22:00]  1.17036-1.17036-1.17323-1.17070
[215: Sun 28.08. 23:00]  1.17070-1.16954-1.17204-1.17158
[216: Mon 29.08. 00:00]  1.17158-1.17104-1.17258-1.17231
[217: Mon 29.08. 01:00]  1.17231-1.17049-1.17245-1.17147
[218: Mon 29.08. 02:00]  1.17147-1.17108-1.17511-1.17474
[219: Mon 29.08. 03:00]  1.17474-1.17242-1.17478-1.17271
[220: Mon 29.08. 04:00]  1.17271-1.17255-1.17403-1.17388
[221: Mon 29.08. 05:00]  1.17388-1.17298-1.17514-1.17405
[222: Mon 29.08. 06:00]  1.17405-1.17341-1.17522-1.17509
[223: Mon 29.08. 07:00]  1.17509-1.17509-1.18520-1.18431
[224: Mon 29.08. 08:00]  1.18431-1.18084-1.18683-1.18133
[225: Mon 29.08. 09:00]  1.18133-1.17802-1.18159-1.18014
[226: Mon 29.08. 10:00]  1.18014-1.17901-1.18352-1.18193
[227: Mon 29.08. 11:00]  1.18193-1.18051-1.18384-1.18260
[228: Mon 29.08. 12:00]  1.18260-1.18135-1.18412-1.18343
[229: Mon 29.08. 13:00]  1.18343-1.18189-1.18971-1.18823
[230: Mon 29.08. 14:00]  1.18823-1.18738-1.19023-1.18907
[231: Mon 29.08. 15:00]  1.18907-1.18857-1.19763-1.19307
[232: Mon 29.08. 16:00]  1.19307-1.18618-1.19315-1.18850
[233: Mon 29.08. 17:00]  1.18850-1.18543-1.19125-1.18592
